09 открытие	09 макс	09 мин	09 закрытие 	10 открыте	10 макс	10 мин	10 закрытие 	11 открыте	11 макс	11 мин	11 закрытие 	12 открыте	12 макс	12 мин	12 закрытие 
110380,00	110390,00	110380,00	110390,00	113930,00	113960,00	113910,00	113930,00	111170,00	111250,00	111130,00	111230,00	109700,00	109710,00	109640,00	109660,00
110370,00	110420,00	110370,00	110420,00	113940,00	113980,00	113920,00	113980,00	111230,00	111290,00	111220,00	111270,00	109660,00	109660,00	109600,00	109600,00
110380,00	110380,00	110340,00	110340,00	113960,00	114000,00	113900,00	113970,00	111250,00	111300,00	111220,00	111300,00	109600,00	109630,00	109570,00	109580,00
110320,00	110350,00	110320,00	110350,00	113990,00	114050,00	113980,00	114000,00	111290,00	111340,00	111260,00	111310,00	109580,00	109580,00	109470,00	109530,00
110350,00	110460,00	110320,00	110350,00	114010,00	114010,00	113910,00	113910,00	111310,00	111330,00	111210,00	111220,00	109530,00	109550,00	109440,00	109460,00
110310,00	110310,00	110300,00	110310,00	113910,00	113930,00	113770,00	113810,00	111210,00	111240,00	111150,00	111150,00	109450,00	109460,00	109290,00	109460,00
110340,00	110340,00	110340,00	110340,00	113810,00	113870,00	113800,00	113830,00	111140,00	111180,00	111030,00	111040,00	109450,00	109530,00	109410,00	109460,00
110310,00	110310,00	110300,00	110300,00	113830,00	113930,00	113820,00	113930,00	111040,00	111090,00	110850,00	110900,00	109450,00	109470,00	109360,00	109420,00
110300,00	110300,00	110270,00	110270,00	113940,00	114010,00	113930,00	113980,00	110900,00	111020,00	110860,00	111020,00	109420,00	109490,00	109400,00	109440,00
110280,00	110280,00	110270,00	110280,00	113970,00	114010,00	113950,00	113950,00	111010,00	111070,00	110960,00	110970,00	109440,00	109450,00	109380,00	109450,00
110280,00	110280,00	110260,00	110260,00	113950,00	113950,00	113860,00	113880,00	110970,00	111040,00	110930,00	111010,00	109450,00	109510,00	109410,00	109510,00
110280,00	110280,00	110260,00	110280,00	113870,00	113950,00	113850,00	113940,00	111010,00	111030,00	110970,00	111000,00	109490,00	109510,00	109410,00	109440,00
110290,00	110310,00	110290,00	110310,00	113930,00	113940,00	113920,00	113930,00	110990,00	111020,00	110950,00	110950,00	109430,00	109500,00	109430,00	109480,00
110310,00	110310,00	110290,00	110290,00	113940,00	113990,00	113930,00	113970,00	110960,00	110970,00	110900,00	110930,00	109490,00	109550,00	109480,00	109540,00
110280,00	110340,00	110280,00	110310,00	113990,00	114040,00	113960,00	113990,00	110920,00	111000,00	110830,00	110860,00	109540,00	109550,00	109480,00	109520,00
110320,00	110330,00	110300,00	110330,00	113990,00	114080,00	113990,00	114070,00	110860,00	110950,00	110840,00	110910,00	109530,00	109550,00	109470,00	109500,00
110290,00	110300,00	110290,00	110300,00	114070,00	114090,00	114030,00	114050,00	110920,00	111080,00	110910,00	111060,00	109490,00	109540,00	109470,00	109500,00
110320,00	110320,00	110300,00	110300,00	114040,00	114060,00	113990,00	113990,00	111070,00	111120,00	111030,00	111070,00	109520,00	109550,00	109500,00	109550,00
110340,00	110340,00	110330,00	110340,00	113990,00	113990,00	113960,00	113960,00	111070,00	111150,00	111050,00	111100,00	109540,00	109550,00	109530,00	109550,00
110330,00	110350,00	110330,00	110350,00	113970,00	114000,00	113950,00	113990,00	111100,00	111190,00	111090,00	111180,00	109540,00	109550,00	109520,00	109530,00
110330,00	110330,00	110330,00	110330,00	114000,00	114020,00	113960,00	113970,00	111180,00	111190,00	111150,00	111180,00	109540,00	109550,00	109480,00	109480,00
110330,00	110330,00	110330,00	110330,00	113970,00	114020,00	113970,00	114010,00	111200,00	111210,00	111160,00	111200,00	109480,00	109540,00	109450,00	109520,00
110300,00	110320,00	110300,00	110320,00	114010,00	114010,00	113910,00	113930,00	111190,00	111280,00	111160,00	111270,00	109510,00	109550,00	109510,00	109510,00
110280,00	110280,00	110280,00	110280,00	113930,00	113960,00	113880,00	113900,00	111270,00	111300,00	111250,00	111280,00	109500,00	109510,00	109470,00	109480,00
110330,00	110330,00	110280,00	110280,00	113910,00	113930,00	113880,00	113900,00	111280,00	111300,00	111250,00	111270,00	109490,00	109520,00	109400,00	109450,00
110280,00	110280,00	110240,00	110240,00	113890,00	113890,00	113850,00	113850,00	111270,00	111300,00	111240,00	111260,00	109460,00	109490,00	109380,00	109480,00
110240,00	110240,00	110220,00	110240,00	113860,00	113900,00	113850,00	113880,00	111260,00	111290,00	111210,00	111280,00	109490,00	109520,00	109460,00	109510,00
110250,00	110260,00	110230,00	110260,00	113880,00	113970,00	113880,00	113970,00	111270,00	111280,00	111240,00	111260,00	109500,00	109550,00	109500,00	109510,00
110240,00	110240,00	110230,00	110230,00	113970,00	113970,00	113890,00	113900,00	111260,00	111280,00	111210,00	111220,00	109510,00	109540,00	109500,00	109520,00
110230,00	110240,00	110220,00	110240,00	113900,00	113910,00	113870,00	113870,00	111230,00	111240,00	111200,00	111200,00	109520,00	109550,00	109510,00	109530,00
110240,00	110240,00	110230,00	110230,00	113880,00	113940,00	113860,00	113930,00	111200,00	111210,00	111040,00	111080,00	109540,00	109550,00	109520,00	109540,00
110220,00	110230,00	110180,00	110220,00	113940,00	113950,00	113890,00	113900,00	111080,00	111140,00	111070,00	111130,00	109540,00	109550,00	109510,00	109520,00
110230,00	110240,00	110220,00	110220,00	113890,00	113960,00	113870,00	113880,00	111120,00	111120,00	111050,00	111050,00	109530,00	109540,00	109490,00	109500,00
110230,00	110260,00	110230,00	110250,00	113880,00	113920,00	113830,00	113830,00	111060,00	111090,00	111030,00	111090,00	109510,00	109520,00	109460,00	109480,00
110260,00	110260,00	110240,00	110250,00	113840,00	113860,00	113730,00	113750,00	111090,00	111160,00	111080,00	111150,00	109480,00	109480,00	109420,00	109440,00
110260,00	110260,00	110170,00	110170,00	113740,00	113820,00	113710,00	113810,00	111150,00	111370,00	111110,00	111350,00	109440,00	109450,00	109400,00	109400,00
110200,00	110220,00	110170,00	110190,00	113810,00	113850,00	113790,00	113830,00	111360,00	111430,00	111320,00	111420,00	109400,00	109400,00	109320,00	109350,00
110220,00	110220,00	110180,00	110180,00	113830,00	113850,00	113790,00	113830,00	111420,00	111430,00	111330,00	111330,00	109350,00	109390,00	109270,00	109320,00
110200,00	110220,00	110200,00	110220,00	113840,00	113870,00	113810,00	113810,00	111330,00	111390,00	111290,00	111330,00	109330,00	109350,00	109280,00	109320,00
110190,00	110190,00	110180,00	110180,00	113820,00	113830,00	113780,00	113800,00	111310,00	111320,00	111280,00	111300,00	109310,00	109320,00	109250,00	109290,00
110180,00	110200,00	110180,00	110200,00	113800,00	113810,00	113730,00	113750,00	111290,00	111350,00	111290,00	111330,00	109290,00	109310,00	109230,00	109250,00
110200,00	110200,00	110170,00	110180,00	113760,00	113790,00	113730,00	113770,00	111340,00	111370,00	111290,00	111290,00	109240,00	109350,00	109240,00	109320,00
110200,00	110200,00	110170,00	110170,00	113750,00	113800,00	113740,00	113740,00	111290,00	111290,00	111180,00	111230,00	109340,00	109380,00	109320,00	109350,00
110180,00	110210,00	110180,00	110210,00	113740,00	113740,00	113650,00	113660,00	111210,00	111300,00	111200,00	111300,00	109350,00	109350,00	109300,00	109330,00
110230,00	110230,00	110180,00	110180,00	113660,00	113660,00	113560,00	113620,00	111300,00	111400,00	111290,00	111360,00	109340,00	109380,00	109330,00	109370,00
110180,00	110180,00	110180,00	110180,00	113610,00	113680,00	113570,00	113670,00	111360,00	111370,00	111260,00	111260,00	109360,00	109450,00	109350,00	109450,00
110190,00	110190,00	110140,00	110140,00	113680,00	113820,00	113660,00	113810,00	111260,00	111280,00	111160,00	111160,00	109450,00	109500,00	109450,00	109490,00
110140,00	110160,00	110120,00	110120,00	113800,00	113830,00	113750,00	113790,00	111160,00	111160,00	111080,00	111110,00	109490,00	109510,00	109440,00	109470,00
110140,00	110150,00	110120,00	110120,00	113780,00	113790,00	113630,00	113690,00	111100,00	111130,00	111080,00	111130,00	109480,00	109520,00	109470,00	109500,00
110140,00	110140,00	110110,00	110130,00	113700,00	113740,00	113690,00	113720,00	111130,00	111200,00	111110,00	111150,00	109490,00	109550,00	109470,00	109510,00
110150,00	110150,00	110120,00	110130,00	113720,00	113780,00	113690,00	113770,00	111140,00	111150,00	111100,00	111110,00	109510,00	109570,00	109490,00	109520,00
110130,00	110150,00	110130,00	110140,00	113790,00	113790,00	113700,00	113720,00	111110,00	111110,00	111050,00	111080,00	109530,00	109530,00	109480,00	109510,00
